 ,Ag_j,Al_j,As_j,B_j,C_j,Ca_j,Ce_j,Co_j,Cr_j,Cu_j,Ge_j,H_j,Hf_j,La_j,Mn_j,Mo_j,N_j,Nb_j,Ni_j,O_j,P_j,Pb_j,S_j,Sb_j,Si_j,Sn_j,Ta_j,Ti_j,U_j,V_j,W_j,Zr_j,Ga_j,Re_j,In_j
Sb,0,0,0,0,6.354870064,0,0,0,0,0,0,0,0,0,0,0,3.234008235,0,0,-12.48789506,0,0,0.659140398,0,0,0,0,0,0,0,0,0,0,0,0
Si,0,6.973164464,0,9.53494973,3.62,-10.66606291,0,4.6,0.5,3.625603596,0,3.625603596,0,0,-3.24005518,22,6.058863769,0.3,7.5,-7.141318278,11.94609266,5.9,9.16,0,8.6,6.912108949,27.1471186,243.0434393,0,2,18.3,0,0,0,0
Sn,0,0,0,0,9.391403076,0,0,0,3.194615034,-6.429766367,0,1.647289854,0,0,0,0,2.309431624,0,0,-6.547254191,4.910988775,26.07506319,-3.190661807,0,6.912108949,-0.292939861,0,0,0,0,0,0,0,0,0
Ta,0,0,0,0,-168.9577257,0,0,0,0,0,0,-0.97080892,0,0,0.366951272,0,-38.83422754,0,0,-76.89174343,0,0,-16.42374249,0,27.1471186,0,79.87714789,0,0,0,0,0,0,0,0
Ti,0,0,0,0,0,0,0,0,0,0,0,-3.592239993,0,0,-9.729723916,0,-118.29003,0,0,-221.0347573,-7.2217091,0,-35.29171332,0,243.0434393,0,0,8.437099951,0,0,0,0,0,0,0
U,0,7.084479493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-434.9334681,0,0,-69.05673706,0,0,0,0,0,9.504224039,0,0,0,0,0,0
V,0,0,0,0,-5.988005631,0,0,0,2.609858079,0,0,-1.467328179,0,0,1.264990729,0,-22.36520666,0,0,-29.33510642,-4.921572889,0,-3.94,0,2,0,0,0,0,6.581962218,0,0,0,0,0
W,0,0,0,0,-7.38,0,0,0,0,0,0,1.347888148,0,0,3.043776704,0,-3.820775099,0,0,4.145899377,-17.62860564,-2.221592864,6.108,0,18.3,0,0,0,0,0,0,0,0,0,0
Zr,0,0,0,0,0,0,0,0,0,0,0,-3.945287781,0,0,0,0,-237.7362139,0,0,-1506.048225,0,0,-79.66765472,0,0,0,0,0,0,0,0,11.40994369,0,0,0
Ga,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.939,0,0,0,0,0,0,0,0,0,0,0,0
Re,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
In,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
