Pressure,Temp,nbot,fe_mant,feO_mant,S_mant,silicate_olivine%,ol_frac,C_metal,cf,Liq_frac,ave_ni,ni_err,ave_co,co_err,ave_cr,cr_err,ave_nb,nb_err,ave_w,w_err,ave_v,v_err,ave_mo,mo_err,ave_si,si_err,ave_mn,mn_err,ni_act,fe_act,Ol_D_Cr,Ol_D_V,Ol_D_Ni,Ol_D_Co
0.5,1878.906,2.319,0.300,0.386,0.001,0.0100,0.0063,0.001,0.36836,0.62532,79783.44669193344,54854.079843915904,8158.563586142377,4126.712426669497,7.598278077419544,0.9123066787095006,1.420663550980717,0.496104789398278,8494651.31329187,13033896.933097119,5.184531752052527,0.8361324402365836,2825610.7283158083,2042837.480010434,0.2646189620449869,0.023636088011678203,0.24033840294871278,0.018059918462242704,1.17032,0.48030,0.85000,5.89875,0.99284,0.70916
0.5,1878.906,2.319,0.300,0.386,0.001,0.0100,0.0063,1.000,0.36836,0.62532,69387.079703425,47695.4269571142,7269.111741486405,3668.133568470256,7.874372347372386,0.9574776345971934,1.5248788271461853,0.5379576507274981,10381419.379672738,15932096.827906143,6.696716826198209,1.1727605492216364,3680151.9908465235,2661333.7310747956,0.20585514457897175,0.018311349768515377,0.24847980805435757,0.018680578488892218,1.17032,0.48030,0.85000,5.72826,0.99284,0.70916
0.5,1878.906,2.319,0.300,0.386,0.001,0.0100,0.0063,2.000,0.36836,0.62532,60420.62589395218,41520.15290089417,6485.638360000585,3264.1937096849915,8.15191186711722,1.0035673745046056,1.573487039626372,0.5577317121896235,11973612.022086002,18378788.456646048,8.49122173075945,1.6157301298991968,4624913.399913734,3345285.75793135,0.1568241131825379,0.013909432680643726,0.25688325787774013,0.019322191194522647,1.17032,0.48030,0.85000,5.50138,0.99284,0.70916
0.5,1878.906,2.319,0.300,0.386,0.001,0.0100,0.0063,3.000,0.36836,0.62532,52673.53404874961,36183.68378840406,5794.170248064821,2907.7058050274136,8.430217491091264,1.0504590667703422,1.5670278190248226,0.5550948724831467,13100762.316827858,20111716.660681482,10.582734906213572,2.1855374223442245,5623152.976725607,4068063.1231909334,0.11727183368341738,0.010381557900861624,0.2655489865852829,0.019984877145152236,1.17032,0.48030,0.85000,5.23155,0.99284,0.70916
0.5,1878.906,2.319,0.300,0.386,0.001,0.0100,0.0063,4.000,0.36836,0.62532,45970.9421281877,31565.970636874903,5182.823499526466,2592.5592889340883,8.709126858876148,1.0981187188278578,1.5114961515377388,0.5325413993602657,13667830.447928555,20984459.879794914,12.982596909565364,2.903183817893674,6634646.14937489,4800493.790148266,0.0862547590702175,0.007626754012726318,0.2744734848284067,0.02066846644233281,1.17032,0.48030,0.85000,4.93120,0.99284,0.70916
0.5,1878.906,2.319,0.300,0.386,0.001,0.0100,0.0063,5.000,0.36836,0.62532,40169.197206565455,27568.379575559644,4641.768830382995,2313.7003614539985,8.988695807007986,1.1465493850782522,1.4164823159351494,0.49443953559852566,13662521.367966231,20977821.57544275,15.69735786937265,3.7890879937217883,7619695.0089451615,5513784.24112237,0.06251900137405844,0.00552416309551039,0.2836457884659016,0.021372214489793966,1.17032,0.48030,0.85000,4.61142,0.99284,0.70916
0.5,1878.906,2.319,0.300,0.386,0.001,0.0100,0.0063,5.451,0.36836,0.62532,37812.94969105687,25944.076509840816,4418.329274541538,2198.5073120322872,9.114596960777195,1.1686261869490926,1.3644319640654023,0.4737130084512324,13486448.077855095,20707696.29624507,17.02165895067887,4.248070528803655,8045916.466898845,5822584.272211132,0.054006145141316554,0.004770183007467845,0.28778037838803777,0.02169094168176453,1.17032,0.48030,0.85000,4.46346,0.99284,0.70916
0.5,1869.899,2.198,0.300,0.386,0.001,0.1000,0.0632,0.001,0.36836,0.56848,72821.84063558477,45123.224186384665,7732.019985928333,3656.115619011673,6.947226327154081,0.7888950137005835,1.3735662758393044,0.4723145532074371,8915772.465799902,13632402.558361553,3.3014292130826273,0.43039256287277367,2902382.695175876,2101308.0218756967,0.27349515482818065,0.02414957070990526,0.2360756808225532,0.017812339982938127,1.19163,0.49953,0.85000,5.70178,1.17146,0.75112
0.5,1869.899,2.198,0.300,0.386,0.001,0.1000,0.0632,1.000,0.36836,0.56848,63324.47664265793,39227.06097073794,6888.244282454783,3249.46861115204,7.20281390863588,0.8278979619366263,1.4750571649341615,0.5123026861399396,10923415.49348934,16705601.2795328,4.309674625528295,0.5945084318534638,3790486.53470528,2745017.0801807716,0.2126891738054244,0.01869864945367602,0.24413783103329173,0.01842920039415369,1.19163,0.49953,0.85000,5.53685,1.17146,0.75112
0.5,1869.899,2.198,0.300,0.386,0.001,0.1000,0.0632,2.000,0.36836,0.56848,55132.26918733959,34140.71471245014,6144.938771854317,2891.2587872709782,7.459864770812737,0.8677067710814644,1.5225721366894545,0.5312636220401905,12625839.152539514,19312661.80251439,5.54181200394162,0.8147653917819956,4775305.209752576,3458996.8896298725,0.1619529951128105,0.014194461756429308,0.25246476311240146,0.019067276073130125,1.19163,0.49953,0.85000,5.31715,1.17146,0.75112
