Pressure,Temp,nbot,fe_mant,feO_mant,S_metal,silicate_olivine%,ol_frac,C_metal,cf,Liq_frac,ave_ni,ni_err,ave_co,co_err,ave_cr,cr_err,ave_nb,nb_err,ave_w,w_err,ave_v,v_err,ave_mo,mo_err,ave_si,si_err,ave_mn,mn_err,ni_act,fe_act,Ol_D_Cr,Ol_D_V,Ol_D_Ni,Ol_D_Co
3,1910.203,2.557,10,12.865,0.001,0.2,0.1427,2,0.28667,0.57067,785.9106954,335.3702728,100.8030919,19.84444108,0.203490591,0.014220836,0.000139887,4.43E-05,216.0480956,160.4610303,0.033192077,0.003593419,2248.158279,1467.508404,0.000625491,4.94E-05,0.007266271,0.000538708,1.37467,0.52864,0.85,0.85771,1.86639,0.91437
3,1910.203,2.557,10,12.865,0.001,0.2,0.1427,3,0.28667,0.57067,678.8887777,282.7778148,89.61925215,16.85311187,0.210000177,0.0146769,0.000138869,4.40E-05,229.5976462,174.0495243,0.041437225,0.004485732,2647.079606,1751.726898,0.00046337,3.66E-05,0.007523115,0.000557743,1.37467,0.52864,0.85,0.81521,1.86639,0.91437
3,1910.203,2.557,10,12.865,0.001,0.2,0.1427,4,0.28667,0.57067,588.3994795,238.8164055,79.8892181,14.35571954,0.21656203,0.015136741,0.00013358,4.23E-05,233.9615383,178.4614641,0.050983344,0.005518742,3042.883997,2034.443586,0.000338438,2.68E-05,0.0077835,0.00057704,1.37467,0.52864,0.85,0.76816,1.86639,0.91437
3,1910.203,2.557,10,12.865,0.001,0.2,0.1427,5,0.28667,0.57067,511.5526462,201.9715032,71.39270044,12.26376875,0.223179693,0.015600613,0.000124908,3.96E-05,229.5931209,174.0171821,0.061890182,0.006698946,3423.061369,2306.455691,0.000244123,1.93E-05,0.008047553,0.000596609,1.37467,0.52864,0.85,0.71829,1.86639,0.91437
3,1910.203,2.557,10,12.865,0.001,0.2,0.1427,5.526,0.28667,0.57067,476.6772843,185.6878141,67.42929041,11.32181868,0.226319426,0.015823391,0.000119931,3.80E-05,224.2039544,168.5651951,0.067464686,0.007304271,3613.108266,2442.812201,0.00020838,1.65E-05,0.008172669,0.000605899,1.37467,0.52864,0.85,0.69146,1.86639,0.91437
3,1897.411,2.44,10,12.865,0.001,0.3,0.214,0.001,0.28667,0.49933,882.6895151,314.2259711,118.0810606,22.9717403,0.171946034,0.012068301,0.000121779,3.82E-05,174.1501608,118.6413614,0.018014463,0.001961684,1578.127706,995.8458819,0.001224847,9.58E-05,0.006735538,0.000502453,1.42354,0.55793,0.85,0.88757,2.20565,0.99406
3,1897.411,2.44,10,12.865,0.001,0.3,0.214,1,0.28667,0.49933,756.2450529,263.8931141,104.3027962,19.39012965,0.177822643,0.01248092,0.000130359,4.09E-05,204.873215,147.8013297,0.02334459,0.002541851,1970.149413,1273.670872,0.000938526,7.34E-05,0.006988312,0.000521301,1.42354,0.55793,0.85,0.86116,2.20565,0.99406
3,1897.411,2.44,10,12.865,0.001,0.3,0.214,2,0.28667,0.49933,650.3514293,222.0773045,92.40778643,16.41771709,0.183749715,0.012897122,0.000134105,4.20E-05,228.5813718,171.1558709,0.029765771,0.003240571,2387.179151,1570.899567,0.000705685,5.52E-05,0.007244813,0.000540427,1.42354,0.55793,0.85,0.82635,2.20565,0.99406
3,1897.411,2.44,10,12.865,0.001,0.3,0.214,3,0.28667,0.49933,561.3134077,187.2474703,82.10585698,13.94475528,0.189724645,0.013316728,0.000133148,4.17E-05,243.2435026,185.9187351,0.037381797,0.004069053,2815.634079,1877.369859,0.000522043,4.08E-05,0.007504914,0.000559822,1.42354,0.55793,0.85,0.78524,2.20565,0.99406
3,1897.411,2.44,10,12.865,0.001,0.3,0.214,4,0.28667,0.49933,486.0931893,158.1438576,73.14818396,11.88024303,0.195750691,0.013739972,0.00012807,4.02E-05,248.1250105,190.8745452,0.046290574,0.005037881,3241.669867,2182.817779,0.000380714,2.98E-05,0.00776874,0.000579494,1.42354,0.55793,0.85,0.73974,2.20565,0.99406
