Pressure,Temp,nbot,fe_mant,feO_mant,S_mant,silicate_olivine%,ol_frac,C_metal,cf,Liq_frac,ave_ni,ni_err,ave_co,co_err,ave_cr,cr_err,ave_nb,nb_err,ave_w,w_err,ave_v,v_err,ave_mo,mo_err,ave_si,si_err,ave_mn,mn_err,ni_act,fe_act,Ol_D_Cr,Ol_D_V,Ol_D_Ni,Ol_D_Co
3,1933.798,2.760,10.000,12.865,0.001,0.0100,0.0071,0.001,0.28667,0.70620,1347.8675795517934,795.3215745240826,145.8825334891676,36.25314762386073,0.2310898181316074,0.016045841809450227,0.0001465667475159427,4.726418677738116e-05,164.16555503043529,112.78803868449899,0.025984418898598798,0.0027874058277568333,1419.1263140377378,876.941837432979,0.0009046274038361081,7.326341564348453e-05,0.007070394283422309,0.0005183633305699349,1.29843,0.48422,0.85000,0.98911,1.37203,0.79823
3,1933.798,2.760,10.000,12.865,0.001,0.0100,0.0071,1.000,0.28667,0.70620,1157.6413283545805,668.6518533745651,129.0817200345338,30.61635583876345,0.2386329256688497,0.016573187040593684,0.00015660871986146682,5.049943845710059e-05,192.0183705176725,139.53616350136548,0.03323643074240156,0.0035654820619666727,1761.0419522740451,1116.4515081943423,0.0006954091921524407,5.6325974508069164e-05,0.007324208650688142,0.0005369637601959079,1.29843,0.48422,0.85000,0.95982,1.37203,0.79823
3,1933.798,2.760,10.000,12.865,0.001,0.0100,0.0071,2.000,0.28667,0.70620,997.9438544371328,563.2304624385418,114.55358509588403,25.935097497189485,0.2462295611989008,0.017104564877824028,0.00016093630990658036,5.1892995345099186e-05,213.23460445580048,160.67615246987177,0.041733189160883644,0.004477211414690293,2122.3339869348856,1371.1932302225773,0.0005247881207308689,4.251204406309877e-05,0.007581367570250796,0.0005558093807750816,1.29843,0.48422,0.85000,0.92135,1.37203,0.79823
3,1933.798,2.760,10.000,12.865,0.001,0.0100,0.0071,3.000,0.28667,0.70620,863.3460637705497,475.28348234317957,101.95102120227413,22.037554796020476,0.2538764317945226,0.017639756763918303,0.00015972342473277335,5.150107696619567e-05,226.063333742945,173.73646799918697,0.051522561478736684,0.005527791598133821,2491.1730252834127,1632.3522599606795,0.00038977031955044123,3.157946459841698e-05,0.007841740517730594,0.0005748906256653774,1.29843,0.48422,0.85000,0.87600,1.37203,0.79823
3,1933.798,2.760,10.000,12.865,0.001,0.0100,0.0071,4.000,0.28667,0.70620,749.3712058678295,401.69365780347687,90.97568666739156,18.78123716768837,0.26157773132839873,0.018179068367018044,0.00015365948663840527,4.9545925377797055e-05,229.93257489577425,177.70394408881512,0.06264030673299104,0.006721148822905102,2855.6908204659094,1891.16442815598,0.0002854719819459454,2.3133180768496584e-05,0.008105451752644778,0.0005942165997819414,1.29843,0.48422,0.85000,0.82583,1.37203,0.79823
3,1933.798,2.760,10.000,12.865,0.001,0.0100,0.0071,5.000,0.28667,0.70620,652.438360748139,339.95821531897076,81.38230335574316,16.05157475900993,0.2693376232147297,0.018722804210198438,0.0001437507610990665,4.6351806849698725e-05,225.33128307468584,172.95609937654328,0.07510287756238808,0.008059175988087267,3204.455232367113,2139.2467854440965,0.00020652475553822563,1.6738915127979517e-05,0.008372628578593874,0.0006137966313047323,1.29843,0.48422,0.85000,0.77266,1.37203,0.79823
3,1933.798,2.760,10.000,12.865,0.001,0.0100,0.0071,5.581,0.28667,0.70620,602.7843481579592,308.7086757541227,76.37192931683498,14.669948173720883,0.27346738175117086,0.019016221812185437,0.00013736061736813814,4.42816367210763e-05,219.24795853622226,166.7184882998328,0.08219707700352574,0.008824939998939966,3396.0641050814306,2275.925402419538,0.00017326306294009806,1.4028314392547485e-05,0.008514278217859201,0.0006241953331072203,1.29843,0.48422,0.85000,0.74101,1.37203,0.79823
3,1922.735,2.667,10.000,12.865,0.001,0.1000,0.0713,0.001,0.28667,0.64200,1228.0896429315203,648.6540975923389,138.11691640305816,32.35724561566748,0.21107003728892246,0.014694668582289426,0.00013585496230609126,4.3443127629146107e-05,162.4230405904225,110.20218583058767,0.02302993174980746,0.002480814387517154,1441.7094001403495,894.7630793433768,0.000976640148514328,7.813624229481423e-05,0.0068887282902211355,0.0005076928356057228,1.33210,0.50362,0.85000,0.95619,1.58553,0.84839
3,1922.735,2.667,10.000,12.865,0.001,0.1000,0.0713,1.000,0.28667,0.64200,1054.0031399431364,545.0706037211156,122.14914855232517,27.316009333229694,0.21805551309556442,0.01518315087556521,0.00014524170668582957,4.644196844434437e-05,190.30735384335063,136.67475915146804,0.02957658601420355,0.003186011101944648,1792.2787037341566,1141.0568571582498,0.0007500327415695991,6.0013424698164274e-05,0.007139393005027221,0.0005261587448234088,1.33210,0.50362,0.85000,0.92783,1.58553,0.84839
3,1922.735,2.667,10.000,12.865,0.001,0.1000,0.0713,2.000,0.28667,0.64200,907.9596759910886,458.9149189916733,108.34802711856864,23.13105300892963,0.22509360358587185,0.015675501134266537,0.00014930268072157769,4.773874458855422e-05,211.63111442959283,157.69201382778857,0.03731437345009092,0.004019521299281582,2163.461194405373,1403.51188751236,0.0005653881250261463,4.524536061527329e-05,0.0073934779251939664,0.0005448766997704342,1.33210,0.50362,0.85000,0.89055,1.58553,0.84839
